facility_name,facility_id,npi,city_town,state,zip_code,year,asc_1_rate,asc_1_footnote,asc_2_rate,asc_2_footnote,asc_3_rate,asc_3_footnote,asc_4_rate,asc_4_footnote,asc_9_rate,asc_9_footnote,asc_11_rate,asc_11_footnote,asc_12_total_cases,asc_12_performance_category,asc_12_rshv_rate,asc_12_interval_lower_limit,asc_12_interval_upper_limit,asc_12_footnote,asc_13_rate,asc_13_footnote,asc_14_rate,asc_14_footnote,asc_17_total_cases,asc_17_performance_category,asc_17_rshv_rate,asc_17_interval_lower_limit,asc_17_interval_upper_limit,asc_17_footnote,asc_18_total_cases,asc_18_performance_category,asc_18_rshv_rate,asc_18_interval_lower_limit,asc_18_interval_upper_limit,asc_18_footnote,asc_19_total_cases,asc_19_performance_category,asc_19_rshv_rate,asc_19_interval_lower_limit,asc_19_interval_upper_limit,asc_19_footnote
EXECUTIVE WOODS AMBULATORY SURGERY CENTER LLC,33C0001054,1265495451,ALBANY,NY,12205,2024,,5,0.089,,0.022,,0.089,,,5,,5,,,,,,5,97.95,,,5,497,No Different Than the National Rate,1.9,1.3,2.8,,,,,,,5,,Number of Cases Too Small,,,,1
INGRAM INVESTMENTS LLC,45C0001235,1265511463,MIDLAND,TX,79701,2024,0.000,,0.000,,0.038,,0.000,,,5,,5,,,,,,5,,5,0.191,,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
SOUTH FLORIDA AMBULATORY SURGICAL CENTER LLC,10C0001428,1265534556,SOUTH MIAMI,FL,33143,2024,0.000,,0.033,,0.000,,0.033,,100.00,,,5,80,No Different Than the National Rate,10.6,7.6,14.9,,100.00,,0.000,,,Number of Cases Too Small,,,,1,131,No Different Than the National Rate,4.7,3,7,,,Number of Cases Too Small,,,,1
SUFFOLK SURGERY CENTER LLC,33C0001053,1265538151,SHIRLEY,NY,11967,2024,0.000,,0.047,,0.000,,0.071,,,5,,5,165,No Different Than the National Rate,9.9,7.1,13.8,,93.33,,0.590,,,Number of Cases Too Small,,,,1,,,,,,5,33,No Different than expected,1,0.6,1.9,
GREAT LAKES EYE SURGERY CENTER LLC,23C0001077,1265542849,SAGINAW,MI,48603,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,0.933,,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
CIGNA OUTPATIENT SURGERY CENTER,03C0001223,1265544191,PHOENIX,AZ,85012,2024,,5,,5,,5,,5,,5,,5,35,No Different Than the National Rate,9.9,7.1,13.9,,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
ELITE SURGICAL CENTER LLC,31C0001206,1265546691,WAYNE,NJ,07470,2024,0.000,,0.000,,0.000,,0.076,,,5,,5,,,,,,5,100.00,,,5,74,No Different Than the National Rate,2.5,1.6,4,,,,,,,5,,,,,,5
AUGUSTA ENDOSCOPY CENTER,11C0001220,1265561419,EVANS,GA,30809,2024,0.000,,0.048,,0.000,,0.019,,91.98,,,5,3717,No Different Than the National Rate,10,7.8,12.7,,,1,,5,,,,,,5,,,,,,5,,,,,,5
ENDOSCOPY CENTER OF LONG ISLAND LLC,33C0001070,1265574768,GARDEN CITY,NY,11530,2024,,5,,5,,5,0.077,,53.21,,,5,3612,No Different Than the National Rate,8.2,6.5,10.5,,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
PACIFIC CATARACT AND LASER INSTITUTE INC PC,38C0001038,1265609945,TUALATIN,OR,97062,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,0.074,,,,,,,5,,,,,,5,,,,,,5
SAM NAFICY MD PS INC,50C0001246,1265614523,BELLEVUE,WA,98004,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
EYE SURGERY CENTER OF NORTH ALABAMA INC,01C0001050,1265657258,HUNTSVILLE,AL,35801,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,0.033,,,,,,,5,,,,,,5,,,,,,5
RIVERSIDE SURGICAL CENTERLLC,10C0001541,1265672356,JACKSONVILLE,FL,32244,2024,0.028,,0.000,,0.000,,0.226,,,5,,5,,,,,,5,100.00,,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
GEORGIA UROLOGY DBA GA UROLOGY AMBULATORY SURGERY CENTER FAYETTEVILLE,11C0001347,1265679674,FAYETTEVILLE,GA,30214,2024,,5,0.029,,,5,,5,,5,,5,,,,,,5,,5,,5,,,,,,5,215,No Different Than the National Rate,5.9,4.1,8.8,,,Number of Cases Too Small,,,,1
PHILADELPHIA SURGERY CENTER,39C0001355,1265770572,NARBERTH,PA,19072,2024,,5,,5,,5,0.099,,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
NASHUA AMBULATORY SURGICAL CENTER LLC,30C0001033,1265799092,NASHUA,NH,03062,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,100.00,,0.212,,234,No Different Than the National Rate,2.3,1.5,3.6,,,,,,,5,,Number of Cases Too Small,,,,1
CLEARVIEW SURGERY CENTER LLC,13C0001076,1265816003,LEWISTON,ID,83501,2024,,5,,5,0.095,,,5,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
HANCOCK PARK SURGERY CENTER,05C0002093,1265851034,LOS ANGELES,CA,90004,2024,,5,,5,,5,,5,,5,100.00,,,,,,,5,,5,,5,,,,,,5,,,,,,5,,,,,,5
MODESTO SPECIALTY SURGERY CENTER PC,05C0002109,1265859573,MODESTO,CA,95350,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,714,No Different than expected,1.2,0.8,1.9,
APEX SURGERY CENTER,37C0001075,1265907885,ADA,OK,74820,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,97.52,,0.000,,131,No Different Than the National Rate,2.7,1.8,4.1,,227,Worse Than the National Rate,7.9,5.8,10.7,,,Number of Cases Too Small,,,,1
HEALTHCARE ENTERPRISES LLC DBA THE SURGERY CENTER,22C0001081,1265931653,SHREWSBURY,MA,01545,2024,0.014,,0.028,,0.000,,0.155,,,5,,5,,,,,,5,99.93,,,5,751,No Different Than the National Rate,2.2,1.5,3.1,,,,,,,7,142,No Different than expected,1.1,0.7,1.9,
BHATTI GI SURGERY CENTER LLC,24C0001098,1265959795,CHASKA,MN,55318,2024,,5,,5,,5,0.065,,,5,,5,372,No Different Than the National Rate,11.1,8.1,15.2,,100.00,,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
SCHAUMBURG SURGERY CENTER,14C0001170,1265964050,SCHAUMBURG,IL,60195,2024,0.000,,0.078,,0.000,,0.196,,,5,,5,,,,,,5,91.28,,,5,484,No Different Than the National Rate,2.3,1.6,3.4,,,,,,,5,26,No Different than expected,1.1,0.6,1.9,
GOLDEN RIDGE SURGERY CENTER,06C0001058,1265972087,GOLDEN,CO,80401,2024,0.000,,0.000,,0.000,,0.066,,,5,,5,,,,,,5,100.00,,,5,586,No Different Than the National Rate,2.6,1.8,3.8,,,,,,,5,,Number of Cases Too Small,,,,1
EMUSC LLC DBA EMU SURGICAL CENTER,33C0001029,1265988182,GLENDALE,NY,11385,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,71.29,,,5,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
THE CENTER FOR SPECIAL SURGERY,11C0001513,1275008351,ROSWELL,GA,30076,2024,0.000,,0.055,,0.000,,0.273,,,5,,5,,,,,,5,100.00,,,5,,,,,,5,306,No Different Than the National Rate,4.3,3,6.2,,,,,,,5
BRADENTON SURGERY CENTER LLC,36C0001325,1275040800,DUBLIN,OH,43017,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
KADLEC REGIONAL MEDICAL CENTER,50C0001323,1275071789,RICHLAND,WA,99352,2024,0.000,,0.000,,0.000,,0.195,,,5,,5,,,,,,5,99.30,,,5,570,No Different Than the National Rate,3,2.1,4.3,,,,,,,5,27,No Different than expected,1,0.5,1.8,
SKI AMBULATORY SURGICAL CENTERS LLC,03C0001380,1275077414,TEMPE,AZ,85281,2024,,5,,5,,5,0.663,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,,,,,5
SEES GROUP ALABAMA LLC DBA EYE SURGERY CENTER OF HOMEWOOD,01C0001064,1275113011,HOMEWOOD,AL,35209,2024,0.000,,0.000,,0.000,,0.032,,,5,,5,,,,,,5,,5,0.192,,,,,,,5,,,,,,5,,,,,,7
OCVAC ASC LLC,55C0001142,1275129181,GARDEN GROVE,CA,92840,2024,,5,,5,,5,0.069,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
COASTAL CARDIOVASCULAR CENTER LLC,45C0001727,1275132094,CORPUS CHRISTI,TX,78404,2024,0.000,,0.124,,0.000,,0.621,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,,,,,5
BCC CHANDLER LLC DBA BANNER CARDIOVASCULAR CENTER CHANDLER,03C0001471,1275158495,CHANDLER,AZ,85244,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,,,,,5
